week,weekTitle,_class,startDate,startTime,endTime,timeZone
1,Hardware,1,2025-01-06,6:00 PM,9:00 PM,EST
1,Hardware,2,2025-01-08,6:00 PM,9:00 PM,EST
1,Hardware,3,2025-01-09,6:00 PM,9:00 PM,EST
2,Hardware & Network Troubleshooting,4,2025-01-13,6:00 PM,9:00 PM,EST
2,Hardware & Network Troubleshooting,5,2025-01-15,6:00 PM,9:00 PM,EST
2,Hardware & Network Troubleshooting,W-1,2025-01-16,6:00 PM,9:00 PM,EST
3,"Networking , Mobile Devices, Cloud & Virtualization",6,2025-01-21,6:00 PM,9:00 PM,EST
3,"Networking , Mobile Devices, Cloud & Virtualization",7,2025-01-22,6:00 PM,9:00 PM,EST
3,"Networking , Mobile Devices, Cloud & Virtualization",8,2025-01-23,6:00 PM,9:00 PM,EST
4,"Install, Update and Configure hardware and peripheral devices",9,2025-01-27,6:00 PM,9:00 PM,EST
4,"Install, Update and Configure hardware and peripheral devices",10,2025-01-29,6:00 PM,9:00 PM,EST
4,"Install, Update and Configure hardware and peripheral devices",W-2,2025-01-30,6:00 PM,9:00 PM,EST
5,Features of an Windows 10 Operating System,11,2025-02-03,6:00 PM,9:00 PM,EST
5,Features of an Windows 10 Operating System,12,2025-02-05,6:00 PM,9:00 PM,EST
5,Features of an Windows 10 Operating System,13,2025-02-06,6:00 PM,9:00 PM,EST
6,"Configure, secure and setup Windows Operating System",14,2025-02-10,6:00 PM,9:00 PM,EST
6,"Configure, secure and setup Windows Operating System",15,2025-02-12,6:00 PM,9:00 PM,EST
6,"Configure, secure and setup Windows Operating System",W-3,2025-02-13,6:00 PM,9:00 PM,EST
7,"Mac OS, Linux and Workstation Security",16,2025-02-18,6:00 PM,9:00 PM,EST
7,"Mac OS, Linux and Workstation Security",17,2025-02-19,6:00 PM,9:00 PM,EST
7,"Mac OS, Linux and Workstation Security",18,2025-02-20,6:00 PM,9:00 PM,EST
8,Operational Procedures,19,2025-02-24,6:00 PM,9:00 PM,EST
8,Operational Procedures,20,2025-02-26,6:00 PM,9:00 PM,EST
8,Operational Procedures,W-4,2025-02-27,6:00 PM,9:00 PM,EST